clean_feedback,valid_invalid,category,sentiment
library feel calm morning,valid,library,positive
book loose page,valid,library,negative
reading area feel average today,valid,library,neutral
found reference book quickly,valid,library,positive
library chair make noise,valid,library,negative
study table okay,valid,library,neutral
staff helped locate journal,valid,library,positive
ac weak library corner,valid,library,negative
library look organized,valid,library,positive
silence maintained day,valid,library,neutral
poha tasted fresh,valid,canteen,positive
tea too watery,valid,canteen,negative
lunch decent today,valid,canteen,neutral
cold coffee tasted nice,valid,canteen,positive
rice felt half cooked,valid,canteen,negative
snack option limited,valid,canteen,neutral
evening snack tasty,valid,canteen,positive
curry felt too oily,valid,canteen,negative
juice tasted refreshing,valid,canteen,positive
food counter moved slowly,valid,canteen,neutral
teacher explained concept clearly,valid,academics,positive
note shared late,valid,academics,negative
class felt normal today,valid,academics,neutral
extra example helped lot,valid,academics,positive
practice question confusing,valid,academics,negative
revision pace felt okay,valid,academics,neutral
mock test boosted confidence,valid,academics,positive
too much syllabus one class,valid,academics,negative
weekly quiz useful,valid,academics,positive
assignment feel manageable,valid,academics,neutral
office staff guided properly,valid,administration,positive
misplaced form,valid,administration,negative
reception busy,valid,administration,neutral
approval process smooth,valid,administration,positive
wait long stamp,valid,administration,negative
help desk seemed crowded,valid,administration,neutral
handled request politely,valid,administration,positive
document got delayed,valid,administration,negative
explained rule clearly,valid,administration,positive
counter staff looked tired,valid,administration,neutral
website load faster,valid,website,positive
login page sometimes freeze,valid,website,negative
portal feel average,valid,website,neutral
dashboard look clean,valid,website,positive
upload failed,valid,website,negative
menu layout feel okay,valid,website,neutral
profile saved successfully,valid,website,positive
search bar responds slowly,valid,website,negative
notification helpful,valid,website,positive
navigation decent,valid,website,neutral
classroom light bright,valid,facilities,positive
chair broken,valid,facilities,negative
hall feel normal today,valid,facilities,neutral
washroom look cleaner,valid,facilities,positive
water cooler area dirty,valid,facilities,negative
parking feel okay,valid,facilities,neutral
garden space look nice,valid,facilities,positive
staircase rail feel loose,valid,facilities,negative
study light work well,valid,facilities,positive
corridor feel crowded,valid,facilities,neutral
found journal easily,valid,library,positive
book issuing took long,valid,library,negative
reading room feel quiet,valid,library,neutral
library seating comfortable,valid,library,positive
shelf look messy,valid,library,negative
library timing work fine,valid,library,neutral
idli soft today,valid,canteen,positive
bread tasted dry,valid,canteen,negative
tea tasted okay,valid,canteen,neutral
lunch combo satisfying,valid,canteen,positive
sambar felt bland,valid,canteen,negative
juice counter felt average,valid,canteen,neutral
practice session helped revision,valid,academics,positive
too many topic,valid,academics,negative
class flow felt normal,valid,academics,neutral
faculty answered doubt well,valid,academics,positive
recorded lecture issue,valid,academics,negative
homework load feel okay,valid,academics,neutral
processed request fast,valid,administration,positive
office closed early,valid,administration,negative
waiting area felt crowded,valid,administration,neutral
reception staff kind,valid,administration,positive
reply came very late,valid,administration,negative
office timing feel fine,valid,administration,neutral
fee receipt downloaded fine,valid,website,positive
password reset failed,valid,website,negative
portal speed feel okay,valid,website,neutral
website layout feel simple,valid,website,positive
page took long refresh,valid,website,negative
font size look fine,valid,website,neutral
class board look new,valid,facilities,positive
washroom floor wet,valid,facilities,negative
lab feel average today,valid,facilities,neutral
walking path look clean,valid,facilities,positive
switch dont work,valid,facilities,negative
seating area feel okay,valid,facilities,neutral
library feel peaceful,valid,library,positive
snack tasted stale,valid,canteen,negative
extra tutorial helpful,valid,academics,positive
office staff seemed stressed,valid,administration,neutra
library air feel fresh today,valid,library,positive
magazine outdated,valid,library,negative
