id,clean_feedback,valid_num,sentiment
1,library feel calm morning,1,positive
2,book loose page,1,negative
3,reading area feel average today,1,neutral
4,found reference book quickly,1,positive
5,library chair make noise,1,negative
6,study table okay,1,neutral
7,staff helped locate journal,1,positive
8,ac weak library corner,1,negative
9,library look organized,1,positive
10,silence maintained day,1,neutral
11,poha tasted fresh,1,positive
12,tea watery,1,negative
13,lunch decent today,1,neutral
14,cold coffee tasted nice,1,positive
15,rice felt half cooked,1,negative
16,snack option limited,1,neutral
17,evening snack tasty,1,positive
18,curry felt oily,1,negative
19,juice tasted refreshing,1,positive
20,food counter moved slowly,1,neutral
21,teacher explained concept clearly,1,positive
22,note shared late,1,negative
23,class felt normal today,1,neutral
24,extra example helped lot,1,positive
25,practice question confusing,1,negative
26,revision pace felt okay,1,neutral
27,mock test boosted confidence,1,positive
28,much syllabus one class,1,negative
29,weekly quiz useful,1,positive
30,assignment feel manageable,1,neutral
31,office staff guided properly,1,positive
32,misplaced form,1,negative
33,reception busy,1,neutral
34,approval process smooth,1,positive
35,wait long stamp,1,negative
36,help desk seemed crowded,1,neutral
37,handled request politely,1,positive
38,document got delayed,1,negative
39,explained rule clearly,1,positive
40,counter staff looked tired,1,neutral
41,website load faster,1,positive
42,login page sometimes freeze,1,negative
43,portal feel average,1,neutral
44,dashboard look clean,1,positive
45,upload failed,1,negative
46,menu layout feel okay,1,neutral
47,profile saved successfully,1,positive
48,search bar responds slowly,1,negative
49,notification helpful,1,positive
50,navigation decent,1,neutral
51,classroom light bright,1,positive
52,chair broken,1,negative
53,hall feel normal today,1,neutral
54,washroom look cleaner,1,positive
55,water cooler area dirty,1,negative
56,parking feel okay,1,neutral
57,garden space look nice,1,positive
58,staircase rail feel loose,1,negative
59,study light work well,1,positive
60,corridor feel crowded,1,neutral
61,found journal easily,1,positive
62,book issuing took long,1,negative
63,reading room feel quiet,1,neutral
64,library seating comfortable,1,positive
65,shelf look messy,1,negative
66,library timing work fine,1,neutral
67,idli soft today,1,positive
68,bread tasted dry,1,negative
69,tea tasted okay,1,neutral
70,lunch combo satisfying,1,positive
71,sambar felt bland,1,negative
72,juice counter felt average,1,neutral
73,practice session helped revision,1,positive
74,many topic,1,negative
75,class flow felt normal,1,neutral
76,faculty answered doubt well,1,positive
77,recorded lecture issue,1,negative
78,homework load feel okay,1,neutral
79,processed request fast,1,positive
80,office closed early,1,negative
81,waiting area felt crowded,1,neutral
82,reception staff kind,1,positive
83,reply came late,1,negative
84,office timing feel fine,1,neutral
85,fee receipt downloaded fine,1,positive
86,password reset failed,1,negative
87,portal speed feel okay,1,neutral
88,website layout feel simple,1,positive
89,page took long refresh,1,negative
90,font size look fine,1,neutral
91,class board look new,1,positive
92,washroom floor wet,1,negative
93,lab feel average today,1,neutral
94,walking path look clean,1,positive
95,switch dont work,1,negative
96,seating area feel okay,1,neutral
97,library feel peaceful,1,positive
98,snack tasted stale,1,negative
99,extra tutorial helpful,1,positive
100,office staff seemed stressed,1,neutral
101,library air feel fresh today,1,positive
102,magazine outdated,1,negative
103,reading corner feel okay,1,neutral
104,found past paper quickly,1,positive
105,book return queue long,1,negative
106,library timing seems fine,1,neutral
107,staff helped find note,1,positive
108,study lamp flicker sometimes,1,negative
109,library shelf look neat,1,positive
110,noise level felt normal,1,neutral
111,masala dosa tasted good,1,positive
112,coffee bitter,1,negative
113,lunch felt average today,1,neutral
114,fruit bowl fresh,1,positive
115,gravy felt watery,1,negative
116,snack counter seems okay,1,neutral
117,evening tea tasted nice,1,positive
118,rice serving felt le,1,negative
119,cold drink refreshing,1,positive
120,menu choice feel limited,1,neutral
121,faculty explained topic clearly,1,positive
122,note hard follow,1,negative
123,class pace felt normal,1,neutral
124,extra practice helped lot,1,positive
125,many assignment week,1,negative
126,syllabus coverage feel okay,1,neutral
127,mock exam improved confidence,1,positive
128,doubt session rushed,1,negative
129,revision worksheet useful,1,positive
130,homework load feel manageable,1,neutral
131,office staff polite,1,positive
132,document got misplaced,1,negative
133,waiting area felt crowded,1,neutral
134,guided properly,1,positive
135,approval took long,1,negative
136,reception desk seemed busy,1,neutral
137,clarified doubt calmly,1,positive
138,visit twice signature,1,negative
139,form submission went smoothly,1,positive
140,office environment feel okay,1,neutral
141,website open faster,1,positive
142,login failed,1,negative
143,portal design feel average,1,neutral
144,dashboard look clean,1,positive
145,upload option hang sometimes,1,negative
146,menu layout fine,1,neutral
147,profile saved without issue,1,positive
148,search feature feel slow,1,negative
149,notification work properly,1,positive
150,navigation feel decent,1,neutral
151,classroom fan work well,1,positive
152,bench broken,1,negative
153,hall feel normal today,1,neutral
154,garden area look clean,1,positive
155,water tap leaking,1,negative
156,parking space feel okay,1,neutral
157,washroom smell better,1,positive
158,staircase light dim,1,negative
159,study room feel comfortable,1,positive
